iter	Passed	Remaining
300	993	2307
301	996	2302
302	998	2297
303	1001	2293
304	1004	2289
305	1007	2284
306	1010	2280
307	1013	2276
308	1015	2271
309	1018	2267
310	1021	2262
311	1024	2258
312	1026	2253
313	1029	2249
314	1032	2245
315	1035	2241
316	1037	2236
317	1040	2231
318	1043	2227
319	1045	2222
320	1048	2217
321	1050	2212
322	1053	2207
323	1055	2203
324	1058	2198
325	1061	2194
326	1064	2190
327	1066	2185
328	1069	2181
329	1072	2177
330	1075	2173
331	1078	2169
332	1080	2165
333	1083	2161
334	1086	2157
335	1089	2152
336	1092	2148
337	1094	2143
338	1097	2139
339	1100	2135
340	1102	2131
341	1105	2127
342	1108	2122
343	1110	2118
344	1113	2113
345	1116	2110
346	1119	2106
347	1122	2102
348	1125	2098
349	1127	2094
350	1130	2090
351	1133	2086
352	1136	2082
353	1139	2079
354	1142	2075
355	1144	2071
356	1147	2066
357	1150	2062
358	1152	2058
359	1155	2053
360	1158	2049
361	1160	2045
362	1163	2041
363	1166	2037
364	1168	2033
365	1171	2029
366	1174	2025
367	1176	2021
368	1179	2017
369	1182	2012
370	1184	2008
371	1187	2004
372	1190	2000
373	1192	1996
374	1195	1992
375	1198	1988
376	1201	1984
377	1203	1981
378	1206	1977
379	1209	1972
380	1211	1968
381	1214	1964
382	1217	1960
383	1219	1957
384	1222	1953
385	1225	1949
386	1228	1945
387	1230	1941
388	1233	1937
389	1236	1933
390	1238	1929
391	1241	1925
392	1244	1921
393	1246	1917
394	1249	1913
395	1251	1909
396	1254	1905
397	1257	1901
398	1259	1897
399	1262	1893
400	1265	1890
401	1268	1886
402	1270	1882
403	1273	1879
404	1276	1875
405	1279	1871
406	1282	1868
407	1285	1864
408	1288	1861
409	1291	1857
410	1293	1854
411	1296	1850
412	1299	1846
413	1302	1843
414	1304	1839
415	1307	1835
416	1310	1832
417	1313	1828
418	1316	1824
419	1318	1821
420	1321	1817
421	1323	1813
422	1326	1809
423	1329	1805
424	1332	1802
425	1334	1798
426	1337	1794
427	1339	1790
428	1342	1786
429	1344	1782
430	1347	1778
431	1350	1775
432	1352	1771
433	1355	1767
434	1357	1763
435	1360	1759
436	1362	1755
437	1365	1752
438	1368	1748
439	1371	1745
440	1373	1741
441	1376	1737
442	1379	1733
443	1381	1730
444	1384	1726
445	1387	1723
446	1389	1719
447	1392	1715
448	1394	1711
449	1397	1708
450	1400	1704
451	1402	1700
452	1405	1697
453	1408	1693
454	1411	1690
455	1413	1686
456	1416	1682
457	1419	1679
458	1421	1675
459	1424	1672
460	1427	1668
461	1429	1664
462	1432	1661
463	1435	1657
464	1437	1654
465	1440	1650
466	1443	1647
467	1446	1644
468	1448	1640
469	1451	1637
470	1454	1633
471	1457	1630
472	1460	1626
473	1462	1623
474	1465	1620
475	1468	1616
476	1470	1612
477	1473	1609
478	1476	1605
479	1478	1602
480	1481	1598
481	1484	1595
482	1486	1591
483	1489	1587
484	1491	1584
485	1494	1580
486	1497	1577
487	1500	1573
488	1502	1570
489	1505	1567
490	1508	1564
491	1511	1561
492	1514	1557
493	1517	1554
494	1519	1550
495	1522	1547
496	1525	1544
497	1528	1540
498	1531	1537
499	1534	1534
500	1536	1530
501	1539	1527
502	1542	1524
503	1545	1520
504	1548	1517
505	1550	1514
506	1553	1510
507	1556	1507
508	1559	1504
509	1562	1500
510	1564	1497
511	1567	1494
512	1570	1490
513	1572	1487
514	1575	1483
515	1578	1480
516	1581	1477
517	1584	1474
518	1587	1471
519	1590	1467
520	1593	1464
521	1596	1461
522	1599	1458
523	1602	1455
524	1604	1452
525	1608	1449
526	1611	1446
527	1614	1443
528	1617	1440
529	1620	1437
530	1623	1434
531	1626	1430
532	1629	1427
533	1632	1424
534	1636	1422
535	1639	1418
536	1642	1415
537	1645	1412
538	1648	1409
539	1651	1406
540	1654	1403
541	1657	1400
542	1660	1397
543	1664	1394
544	1667	1391
545	1670	1389
546	1673	1385
547	1676	1382
548	1679	1380
549	1683	1377
550	1685	1373
551	1688	1370
552	1691	1366
553	1693	1363
554	1696	1360
555	1699	1357
556	1702	1354
557	1705	1351
558	1708	1347
559	1712	1345
560	1714	1341
561	1718	1339
562	1721	1335
563	1724	1332
564	1726	1329
565	1729	1326
566	1732	1323
567	1735	1320
568	1738	1316
569	1741	1313
570	1744	1310
571	1746	1307
572	1749	1304
573	1753	1301
574	1755	1297
575	1758	1294
576	1761	1291
577	1764	1288
578	1767	1284
579	1769	1281
580	1772	1278
581	1775	1275
582	1778	1271
583	1781	1268
584	1784	1265
585	1787	1262
586	1790	1259
587	1793	1256
588	1795	1253
589	1798	1250
590	1802	1247
591	1805	1244
592	1807	1240
593	1810	1237
594	1813	1234
595	1816	1231
596	1819	1228
597	1821	1224
598	1824	1221
599	1827	1218
600	1830	1215
601	1833	1211
602	1836	1208
603	1838	1205
604	1841	1202
605	1844	1199
606	1847	1196
607	1850	1193
608	1854	1190
609	1857	1187
610	1860	1184
611	1863	1181
612	1866	1178
613	1869	1174
614	1871	1171
615	1874	1168
616	1877	1165
617	1880	1162
618	1883	1159
619	1886	1156
620	1889	1153
621	1892	1149
622	1895	1146
623	1898	1143
624	1901	1140
625	1904	1137
626	1907	1134
627	1910	1131
628	1913	1128
629	1916	1125
630	1919	1122
631	1922	1119
632	1925	1116
633	1928	1113
634	1931	1110
635	1935	1107
636	1938	1104
637	1941	1101
638	1944	1098
639	1947	1095
640	1950	1092
641	1953	1089
642	1956	1086
643	1959	1082
644	1962	1079
645	1965	1077
646	1968	1074
647	1971	1071
648	1974	1068
649	1977	1064
650	1980	1061
651	1983	1058
652	1987	1055
653	1990	1052
654	2007	1057
655	2010	1054
656	2013	1051
657	2016	1047
658	2018	1044
659	2021	1041
660	2024	1038
661	2027	1034
662	2029	1031
663	2032	1028
664	2034	1025
665	2037	1021
666	2040	1018
667	2042	1015
668	2045	1011
669	2048	1008
670	2050	1005
671	2053	1002
672	2056	999
673	2059	995
674	2061	992
675	2064	989
676	2067	986
677	2069	983
678	2072	979
679	2074	976
680	2077	973
681	2079	969
682	2082	966
683	2085	963
684	2087	960
685	2090	956
686	2092	953
687	2095	950
688	2098	947
689	2100	943
690	2103	940
691	2106	937
692	2109	934
693	2112	931
694	2115	928
695	2118	925
696	2121	922
697	2124	919
698	2127	916
699	2130	912
700	2133	909
701	2136	906
702	2139	903
703	2142	900
704	2144	897
705	2147	894
706	2150	891
707	2153	888
708	2156	885
709	2159	882
710	2163	879
711	2166	876
712	2169	873
713	2172	870
714	2175	867
715	2178	864
716	2182	861
717	2185	858
718	2188	855
719	2191	852
720	2194	849
721	2197	846
722	2200	843
723	2203	839
724	2206	836
725	2209	833
726	2211	830
727	2214	827
728	2217	824
729	2219	820
730	2222	817
731	2224	814
732	2227	811
733	2229	808
734	2232	805
735	2235	802
736	2238	798
737	2241	795
738	2244	792
739	2247	789
740	2250	786
741	2253	783
742	2256	780
743	2258	777
744	2261	774
745	2264	770
746	2266	767
747	2269	764
748	2271	761
749	2274	758
750	2277	754
751	2279	751
752	2282	748
753	2284	745
754	2287	742
755	2290	739
756	2292	735
757	2295	732
758	2297	729
759	2300	726
760	2303	723
761	2305	720
762	2308	717
763	2311	713
764	2314	710
765	2317	707
766	2320	704
767	2323	701
768	2326	698
769	2328	695
770	2331	692
771	2335	689
772	2338	686
773	2341	683
774	2344	680
775	2347	677
776	2350	674
777	2353	671
778	2356	668
779	2359	665
780	2361	662
781	2364	659
782	2367	656
783	2370	653
784	2374	650
785	2377	647
786	2380	644
787	2383	641
788	2386	638
789	2389	635
790	2392	632
791	2395	629
792	2398	626
793	2401	623
794	2404	620
795	2407	616
796	2410	613
797	2413	610
798	2416	607
799	2419	604
800	2422	601
801	2425	598
802	2428	595
803	2430	592
804	2433	589
805	2436	586
806	2439	583
807	2442	580
808	2445	577
809	2448	574
810	2451	571
811	2454	568
812	2457	565
813	2460	562
814	2462	559
815	2465	556
816	2468	552
817	2471	549
818	2474	546
819	2477	543
820	2480	540
821	2483	537
822	2487	534
823	2490	531
824	2493	528
825	2496	525
826	2498	522
827	2501	519
828	2504	516
829	2508	513
830	2511	510
831	2514	507
832	2517	504
833	2520	501
834	2523	498
835	2526	495
836	2529	492
837	2532	489
838	2535	486
839	2538	483
840	2541	480
841	2543	477
842	2546	474
843	2549	471
844	2552	468
845	2554	465
846	2557	462
847	2561	459
848	2564	456
849	2566	452
850	2570	449
851	2572	446
852	2575	443
853	2578	440
854	2581	437
855	2584	434
856	2588	431
857	2591	428
858	2594	425
859	2596	422
860	2599	419
861	2602	416
862	2605	413
863	2608	410
864	2610	407
865	2613	404
866	2616	401
867	2619	398
868	2622	395
869	2624	392
870	2627	389
871	2630	386
872	2632	382
873	2635	379
874	2637	376
875	2640	373
876	2642	370
877	2645	367
878	2648	364
879	2651	361
880	2653	358
881	2656	355
882	2659	352
883	2661	349
884	2664	346
885	2667	343
886	2669	340
887	2672	337
888	2674	333
889	2677	330
890	2680	327
891	2683	324
892	2686	321
893	2689	318
894	2692	315
895	2695	312
896	2698	309
897	2701	306
898	2704	303
899	2706	300
900	2709	297
901	2712	294
902	2716	291
903	2719	288
904	2722	285
905	2725	282
906	2727	279
907	2731	276
908	2734	273
909	2737	270
910	2740	267
911	2744	264
912	2746	261
913	2749	258
914	2752	255
915	2754	252
916	2758	249
917	2760	246
918	2763	243
919	2766	240
920	2769	237
921	2772	234
922	2775	231
923	2779	228
924	2782	225
925	2785	222
926	2788	219
927	2791	216
928	2794	213
929	2797	210
930	2800	207
931	2803	204
932	2806	201
933	2809	198
934	2812	195
935	2815	192
936	2818	189
937	2821	186
938	2824	183
939	2826	180
940	2829	177
941	2833	174
942	2835	171
943	2839	168
944	2842	165
945	2845	162
946	2849	159
947	2852	156
948	2855	153
949	2858	150
950	2861	147
951	2863	144
952	2866	141
953	2869	138
954	2872	135
955	2875	132
956	2877	129
957	2880	126
958	2883	123
959	2886	120
960	2888	117
961	2891	114
962	2894	111
963	2897	108
964	2900	105
965	2903	102
966	2906	99
967	2909	96
968	2912	93
969	2915	90
970	2918	87
971	2921	84
972	2924	81
973	2926	78
974	2929	75
975	2932	72
976	2935	69
977	2937	66
978	2940	63
979	2943	60
980	2946	57
981	2948	54
982	2951	51
983	2954	48
984	2956	45
985	2959	42
986	2962	39
987	2964	36
988	2967	33
989	2970	30
990	2972	26
991	2975	23
992	2978	20
993	2981	17
994	2983	14
995	2986	11
996	2989	8
997	2991	5
998	2994	2
999	2996	0
